[100001, 631188.409081, 197425.853131, 0]
[100002, 631170.8, 197452.4, 0]
[100003, 631183.4, 197598.6, 0]
[100004, 631247.7, 197668.3, 0]
[100005, 631304.1, 197276.1, 0]
[100006, 631356.2, 197300.8, 0]
[100007, 631153.6, 197162.8, 0]
[100008, 631225.3, 197217.2, 0]
[100009, 631205.0, 197113.1, 0]
[100010, 631310.5, 197230.5, 0]
[100011, 631400.2, 197299.5, 0]
[100012, 631389.4, 197299.8, 0]
[100013, 631266.330239, 197503.816797, 0]
[100014, 631267.9, 197344.5, 0]
[100015, 631197.6, 197369.8, 0]
[100016, 631183.2, 197396.6, 0]
[100017, 631182.6, 197283.4, 0]
[100018, 631383.3, 197627.8, 0]
[100019, 631523.1, 197680.1, 0]
[100020, 631101.5, 197217.8, 0]
[100021, 631093.1, 197235.2, 0]
[100022, 631134.8, 197288.3, 0]
[100023, 631162.1, 197306.8, 0]
[100024, 631513.718417, 197730.826343, 0]
[100025, 631035.9, 197156.8, 0]
[100026, 631079.6, 197103.8, 0]
[100027, 631654.4, 197475.7, 0]
[100028, 631098.9, 197708.9, 0]
[100029, 630993.3, 197592.0, 0]
[100030, 631364.7, 197403.7, 0]
